time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed,fuel
126.8,rl_1,11.310653349325193,4.569154876361933,9.662099047293605,15.584323098879764,rl_2,,,,,-0.005073990280681784,0,lower_ring,0,747.2488848661537,75.2388848661536,rl_7,-0.6903740645948115,0.0
127.0,rl_1,12.974355855172144,3.4314168605248097,9.602499435057604,15.477987995117857,rl_2,,,,,-0.2979980611800048,0,lower_ring,0,749.1693847531652,77.15938475316511,rl_7,-0.5316755188095801,0.0
127.2,rl_1,14.694731156370436,2.3918035650154117,9.559206491811722,15.394623053538155,rl_2,,,,,-0.216464716229412,0,lower_ring,0,751.0812260515276,79.07122605152746,rl_7,-0.4168247078984635,0.0
127.4,rl_1,16.480858006097197,1.49176808345615,9.527278593465944,15.326568633825985,rl_2,,,,,-0.15963949172888903,0,lower_ring,0,752.9866817702208,80.97668177022065,rl_7,-0.34027209856081875,0.0
127.6,rl_1,18.302292883148038,0.6700287854763154,9.50272459197629,15.267022446261763,rl_2,,,,,-0.12277000744826516,0,lower_ring,0,754.887226688616,82.8772266886159,rl_7,-0.2977309378211146,0.0
127.8,rl_1,20.182525876681975,0.015074109748643871,9.482224015567565,15.209823104534067,rl_2,,,,,-0.1025028820436269,0,lower_ring,0,756.7836714917295,84.77367149172942,rl_7,-0.28599670863848203,0.0
128.0,rl_1,22.08188998434999,-0.5781519403175306,9.462921217600396,15.149223628373818,rl_2,,,,,-0.09651398983584691,0,lower_ring,0,758.6762557352496,86.66625573524949,rl_7,-0.3029973808012265,0.0
128.2,rl_1,24.024492349017795,-0.9773212792885597,9.442248197880478,15.079725064518755,rl_2,,,,,-0.10336509859959264,0,lower_ring,0,760.5647053748257,88.55470537482559,rl_7,-0.34749281927532394,0.0
128.4,rl_1,25.973074538427603,-1.330664182968205,9.417790464546291,14.995954734910896,rl_2,,,,,-0.12228866667093108,0,lower_ring,0,762.4482634677349,90.43826346773484,rl_7,-0.41885164803933783,0.0
128.6,rl_1,27.940272965013826,-1.475659522822357,9.387177856808256,14.892585508283531,rl_2,,,,,-0.15306303869017768,0,lower_ring,0,764.3256990390965,92.31569903909649,rl_7,-0.5168461331368874,0.0
128.8,rl_1,29.902383223448744,-1.5941071237252524,9.347991127937924,14.764301123040198,rl_2,,,,,-0.19593364435166016,0,lower_ring,0,766.1952972646842,94.18529726468407,rl_7,-0.6414219262167027,0.0
129.0,rl_1,31.85393361397234,-1.488082747712956,9.297681237796425,14.60539917839553,rl_2,,,,,-0.25154945070749335,0,lower_ring,0,768.0548335122435,96.04483351224336,rl_7,-0.7945097232233262,0.0
129.2,rl_1,33.791970867106706,-1.3710883728518266,9.233301222513282,14.410261251210201,rl_2,,,,,-0.3219000764157176,0,lower_ring,0,769.9014937567462,97.89149375674602,rl_7,-0.9756896359266047,0.0
129.4,rl_1,35.685739305593685,-1.0298659392523453,9.151625227323562,14.16800379765614,rl_2,,,,,-0.40837997594859843,0,lower_ring,0,771.7318188022108,99.72181880221073,rl_7,-1.2112872677702704,0.0
129.6,rl_1,37.55744405326578,-0.6904634783411386,9.046230239028993,13.878431611552244,rl_2,,,,,-0.526974941472842,0,lower_ring,0,773.5410648500166,101.53106485001653,rl_7,-1.4478609305194539,0.0
129.8,rl_1,39.34703346391813,-0.13185804140639323,8.915626119400745,13.54075922373066,rl_2,,,,,-0.6530205981412429,0,lower_ring,0,775.3241900738968,103.31419007389668,rl_7,-1.6883619391079154,0.0
130.0,rl_1,41.10481304340096,0.41714708752797147,8.757525537836637,13.095403469634832,rl_2,,,,,-0.7905029078205406,0,lower_ring,0,777.0756951814641,105.06569518146401,rl_7,-2.2267787704791306,0.0
130.2,rl_1,42.74496112975936,1.1424968315293673,8.532201486840936,12.632895411001584,rl_2,,,,,-1.1266202549785032,0,lower_ring,0,778.7821354788323,106.7721354788322,rl_7,-2.312540293166247,0.0
130.4,rl_1,44.33460249094807,1.859662618042666,8.293419789923696,12.14546506163164,rl_2,,,,,-1.1939084845861991,0,lower_ring,0,780.440819436817,108.43081943681693,rl_7,-2.437151746849751,0.0
130.6,rl_1,45.802027279346284,2.691991944881038,8.033108639303297,11.629453891409653,rl_2,,,,,-1.3015557531019972,0,lower_ring,0,782.0474411646777,110.03744116467759,rl_7,-2.580055851109953,0.0
