episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
2339.027703507604,256.42768223610983,1424.275261052033,3000.0,20,60000,False,1380000,460,23,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-35-29,1662546929,208.7160918712616,4767.493402719498,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,4767.493402719498,1380000,23,2,ad275f4e,0,4.675584010921454,1.2174465607660732,0.7694101057297863,1377792,1380000,211064.348,11.501,5703.408,3.378,44.321548821548824,79.00841750841751,0.0007812500116415322,4.999999873689376e-05,210.31758,-0.0019010481,210.31947,1.2259708e-05,0.004309745,-1.0686091,0.0
2339.027703507604,310.78690160697147,1554.3333610065251,3000.0,20,60000,False,1440000,480,24,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-38-57,1662547137,208.0963294506073,4975.589732170105,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,4975.589732170105,1440000,24,2,ad275f4e,0,4.683696288789304,1.2178046988275724,0.7713766539245319,1437696,1440000,211471.755,11.931,5716.877,3.263,43.75757575757576,80.92390572390572,0.0003906250058207661,4.999999873689376e-05,234.68156,-0.0024010586,234.68396,1.2268623e-06,0.0061290786,-1.1895797,0.0
2442.4352437882267,505.4108033438883,1612.0593748952094,3000.0,20,60000,False,1500000,500,25,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-42-19,1662547339,202.70561742782593,5178.295349597931,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,5178.295349597931,1500000,25,2,ad275f4e,0,4.686026293913249,1.2178193845232568,0.7721367651559722,1497600,1500000,211271.819,11.968,5770.747,3.18,40.70449826989619,81.12006920415226,0.00019531250291038305,4.999999873689376e-05,206.59805,-0.0023092318,206.60036,5.5045143e-07,0.0061286995,-1.195899,0.0
2537.758249713063,505.4108033438883,1612.1245871387293,3000.0,20,60000,False,1560000,520,26,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-45-41,1662547541,201.7322325706482,5380.027582168579,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,5380.027582168579,1560000,26,2,ad275f4e,0,4.684561089377289,1.2176906230784363,0.7721581396995449,1557504,1560000,209294.431,11.935,5713.637,3.165,40.96666666666667,80.24895833333335,9.765625145519152e-05,4.999999873689376e-05,212.57455,-0.0019501772,212.57652,1.4799272e-07,0.0051405346,-1.2547902,0.0
2537.758249713063,683.6460161704912,1662.3932641385013,3000.0,20,60000,False,1620000,540,27,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-49-05,1662547745,203.6732530593872,5583.700835227966,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,5583.700835227966,1620000,27,2,ad275f4e,0,4.68193771377699,1.217559849367088,0.771910145304251,1617408,1620000,206678.523,11.79,5722.662,3.322,40.6958762886598,80.11993127147767,4.882812572759576e-05,4.999999873689376e-05,296.6188,-0.0019367213,296.6207,1.1080351e-08,0.004269598,-1.3903545,0.0
2540.797109501292,821.5858188715828,1717.2118996724032,3000.0,20,60000,False,1680000,560,28,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-52-28,1662547948,203.25849390029907,5786.959329128265,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,5786.959329128265,1680000,28,2,ad275f4e,0,4.678438201025049,1.217428105399683,0.7714437434395057,1677312,1680000,204192.91,11.672,5721.909,3.512,40.94344827586207,80.0989655172414,2.441406286379788e-05,4.999999873689376e-05,268.022,-0.0017639598,268.02377,8.915225e-09,0.004409231,-1.4247419,0.0
2651.642814656451,821.5858188715828,1763.427302434813,3000.0,20,60000,False,1740000,580,29,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-55-50,1662548150,201.937358379364,5988.896687507629,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,5988.896687507629,1740000,29,2,ad275f4e,0,4.674032200697616,1.2172833368312725,0.7707143658832201,1737216,1740000,202286.665,11.502,5661.391,3.432,41.0611111111111,79.82638888888889,1.220703143189894e-05,4.999999873689376e-05,319.54605,-0.000705146,319.54675,-2.0377657e-09,0.0031061203,-1.4891887,0.0
2651.642814656451,902.003981206147,1810.7175978095754,3000.0,20,60000,False,1800000,600,30,3724dec853dd43e38dcdc341bf90d305,2022-09-07_12-59-11,1662548351,200.93244743347168,6189.829134941101,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,6189.829134941101,1800000,30,2,ad275f4e,0,4.669739204546887,1.217142180692148,0.7699662843243839,1797120,1800000,199945.327,11.888,5720.997,3.288,40.73867595818815,79.82787456445992,6.10351571594947e-06,4.999999873689376e-05,264.27563,-0.0022268353,264.2779,-4.202892e-09,0.006036036,-1.5145764,0.0
2651.642814656451,966.9472279105798,1865.0313651237814,3000.0,20,60000,False,1860000,620,31,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-02-31,1662548551,200.35809421539307,6390.187229156494,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,6390.187229156494,1860000,31,2,ad275f4e,0,4.665517631418665,1.2169325078345972,0.7691793924256565,1857024,1860000,198237.019,12.316,5709.6,3.378,40.788771929824556,79.95684210526316,3.051757857974735e-06,4.999999873689376e-05,273.30786,-0.0015479829,273.3094,-4.967054e-09,0.004765579,-1.5845712,0.0
2651.642814656451,966.9472279105798,1855.516354411431,3000.0,20,60000,False,1920000,640,32,3724dec853dd43e38dcdc341bf90d305,2022-09-07_13-05-54,1662548754,202.2920801639557,6592.47930932045,480403,kamil-ThinkBook-15-G2-ARE,192.168.0.66,6592.47930932045,1920000,32,2,ad275f4e,0,4.661352576564796,1.2166455316245104,0.7683949890136907,1916928,1920000,197602.574,12.113,5737.44,3.706,41.9159169550173,80.1173010380623,1.5258789289873675e-06,4.999999873689376e-05,275.8309,-0.0013120468,275.83224,-1.9104054e-09,0.0039265053,-1.6330308,0.0
